PersonID;CourseID;CourseStartDate;Percentuale completamento
210;606;18/08/2022;0,72
211;221;06/01/2022;0,75
212;57;23/04/2019;0,40
213;188;23/07/1986;0,49
214;87;13/12/2016;0,27
215;288;27/05/2021;0,71
216;45;10/11/2018;0,07
217;212;07/10/2012;0,35
218;517;01/04/2007;0,92
219;148;30/03/2010;0,92
220;233;13/06/2023;0,73
221;107;17/07/2019;0,18
222;448;04/03/1993;0,10
223;483;26/11/2020;0,94
224;268;12/08/2021;0,88
225;508;04/04/2010;0,54
226;170;19/06/2011;0,91
227;377;11/01/2023;0,46
228;165;10/09/2017;0,76
229;184;24/06/2009;0,91
230;455;02/06/2020;0,24
231;278;30/04/2003;0,95
232;397;10/07/2019;0,35
233;244;18/09/2023;0,38
234;423;11/10/2016;0,68
235;563;10/12/2013;0,73
236;247;23/01/2019;0,51
237;122;06/12/2007;0,87
238;613;28/10/2018;0,20
239;610;11/03/2023;0,57
240;598;14/10/2021;0,45
241;20;12/11/2023;0,83
242;466;07/01/2009;0,74
243;427;16/03/2009;0,08
244;425;16/07/2019;0,23
245;623;27/06/2011;0,46
246;462;24/10/2023;0,53
247;444;10/07/2022;0,88
248;344;12/05/2017;0,20
249;303;28/11/2015;0,64
250;217;17/08/2012;0,69
251;74;08/11/2015;0,53
252;286;16/04/2013;0,14
253;238;24/03/1998;0,56
254;420;22/05/2022;0,04
255;622;21/08/2006;0,69
256;591;02/06/2012;0,89
257;95;01/03/2013;0,74
258;129;29/04/2005;0,84
259;322;09/10/2017;0,04
260;456;03/04/2010;0,02
261;109;08/12/2020;0,44
262;627;10/08/2020;0,97
263;239;19/12/2018;0,86
264;167;25/05/1994;0,57
265;191;21/12/2016;0,24
266;458;21/02/2014;0,71
267;262;27/12/2023;0,64
268;552;01/07/2019;0,16
269;566;26/08/2020;0,54
270;559;19/05/2022;0,58
271;147;19/11/1990;0,64
272;591;18/01/2008;0,27
273;605;04/04/2023;0,10
274;106;09/01/2004;0,02
275;425;26/01/2023;0,75
276;105;09/03/2022;0,10
277;3;12/08/2008;0,73
278;482;13/03/2010;0,88
279;264;02/10/2020;0,88
280;73;30/09/2022;0,16
281;89;18/01/1988;0,32
282;287;29/08/2020;0,76
283;392;14/03/2007;0,62
284;534;03/05/2013;0,55
285;532;19/01/2022;0,66
286;601;27/05/2023;0,28
287;532;22/09/2017;0,95
288;274;11/10/2022;0,96
289;571;22/03/2023;0,84
290;211;01/06/2021;0,73
291;258;11/07/2013;0,61
292;563;02/08/2015;0,07
293;297;15/12/2023;0,03
294;66;27/09/2013;0,53
295;172;03/03/2023;0,14
296;566;17/07/2014;0,91
297;119;18/09/2018;0,79
298;57;15/11/2001;0,62
299;271;24/03/2020;0,40
300;381;17/07/2020;0,80
301;445;17/03/2015;0,94
302;33;22/05/2015;0,42
303;429;13/01/2018;0,07
304;41;25/04/2014;0,38
305;305;31/03/2016;0,88
306;528;09/03/1991;0,02
307;130;08/09/1992;0,47
308;450;10/11/2019;0,77
309;529;11/08/2016;0,05
310;300;28/07/2015;0,38
311;339;13/02/2020;0,10
312;165;13/01/2008;0,14
313;242;05/08/2018;0,07
314;482;15/08/2007;0,04
315;243;18/05/2014;0,55
316;404;05/10/2023;0,44
317;325;31/12/2023;0,81
318;511;06/01/2015;0,81
319;454;26/02/2007;0,50
320;147;25/08/2020;0,87
321;477;06/04/2022;0,42
322;484;01/06/2013;0,92
323;598;13/05/2000;0,79
324;163;20/09/2020;0,89
325;608;26/07/2024;0,26
326;139;15/07/1998;0,03
327;192;06/09/1989;0,92
328;242;15/05/2023;0,25
329;562;31/10/2018;0,28
330;537;02/07/2007;0,46
331;149;25/09/1993;0,34
332;53;25/11/2006;0,22
333;469;10/11/2023;0,60
334;571;06/12/2017;0,40
335;79;15/06/2023;0,18
336;192;25/06/2014;0,95
337;149;11/05/2020;0,19
338;192;03/02/2019;0,91
339;304;18/12/2020;0,46
340;456;21/01/2020;0,57
341;511;18/10/2019;0,07
342;159;05/05/2003;0,98
343;506;23/09/2022;0,93
344;516;02/04/2024;0,29
345;226;23/11/2014;0,23
346;50;03/07/2021;0,27
347;212;04/12/2017;0,87
348;546;12/10/2014;0,09
349;344;11/07/2024;0,54
350;339;14/09/2017;1,00
351;351;14/01/2013;0,30
352;44;30/07/2007;0,52
353;329;11/07/2023;0,94
354;327;09/02/2018;0,66
355;31;15/09/2011;0,85
356;254;30/03/2015;0,08
357;192;11/11/2020;0,50
358;32;26/01/2018;0,15
359;311;12/02/2010;0,19
360;608;04/08/2009;0,34
361;427;12/01/2023;0,62
362;292;30/04/2018;0,04
363;304;21/11/2020;0,19
364;273;21/06/2013;0,60
365;150;26/04/2012;0,65
366;129;23/07/2005;0,15
367;535;25/11/2021;0,93
368;344;22/03/2019;0,25
369;108;25/12/2021;0,44
370;60;15/07/2019;0,43
371;550;07/01/2009;0,83
372;160;01/03/2020;0,72
373;484;10/09/2017;0,58
374;332;09/08/2020;0,09
375;205;16/09/1996;0,07
376;148;16/01/2014;0,99
377;151;06/08/2000;0,91
378;533;19/04/2002;0,13
379;5;11/04/2005;0,04
380;100;21/10/2023;0,81
381;392;22/08/2011;0,57
382;20;17/03/2021;0,61
383;150;08/04/2009;0,87
384;171;25/01/2013;0,85
385;501;01/07/2011;0,11
386;143;11/04/2024;0,15
387;94;21/08/2020;0,51
388;458;03/08/2019;0,67
389;53;19/11/2006;0,01
390;232;29/09/2023;0,31
391;338;06/04/2022;0,97
392;113;19/04/2022;0,05
393;574;10/10/2016;0,71
394;140;16/07/2021;0,64
395;581;26/09/2021;0,51
396;135;27/01/2011;0,59
397;166;29/01/2020;0,46
398;159;12/05/2022;0,13
399;592;12/05/2014;0,34
400;417;13/02/2019;0,39
401;379;06/02/2018;0,09
402;598;22/04/2024;0,19
403;224;28/12/2021;0,27
404;236;08/05/2022;0,48
405;82;26/09/2008;0,29
406;270;28/07/2024;0,43
407;323;19/04/2023;0,95
408;88;15/08/2020;0,07
409;628;20/03/2021;0,91
410;252;25/10/2023;0,29
411;578;17/01/2011;0,35
412;408;18/12/2021;0,86
413;228;23/06/2015;0,72
414;621;30/10/2021;0,50
415;216;20/08/2019;0,05
416;612;13/01/2012;0,36
417;593;12/08/2018;0,41
418;436;05/07/2016;0,40
419;31;17/12/2022;0,45
420;277;15/07/2023;0,13
421;596;13/09/2019;0,98
422;542;02/10/2023;0,54
423;573;08/07/1988;0,75
424;204;09/01/2014;0,87
425;183;26/04/2011;0,38
426;12;29/03/2019;0,42
427;457;30/03/2010;0,69
428;374;14/02/2017;0,91
429;210;19/12/2017;0,89
430;604;26/01/2018;0,91
431;139;13/08/2016;0,33
432;469;30/12/2018;0,10
433;386;24/09/2021;0,08
434;513;06/07/2023;0,37
435;173;04/05/2024;0,74
436;493;27/10/2018;0,95
437;445;09/06/2019;0,70
438;247;28/07/2013;0,13
439;49;24/02/2007;0,49
440;201;10/08/2008;0,95
441;522;20/07/2020;0,05
442;583;12/02/2007;0,20
443;246;06/03/2008;0,94
444;8;11/01/2012;0,32
445;148;04/05/2024;0,64
446;454;21/03/2017;0,34
447;318;21/04/2022;0,94
448;86;04/11/2017;0,70
449;316;27/12/2023;0,67
450;505;20/03/2020;0,75
451;256;02/04/2020;0,33
452;557;31/08/1995;0,13
453;211;30/07/2022;0,29
454;142;12/01/2021;0,09
455;256;16/04/2019;0,11
456;470;28/04/2009;0,00
457;466;13/09/2022;0,36
458;417;08/08/2013;0,12
459;34;12/03/2018;0,17
460;339;24/11/2015;0,08
461;545;09/02/2023;0,57
462;582;14/12/2017;0,71
463;181;05/08/2021;0,71
464;31;16/11/2023;0,92
465;154;09/08/2001;0,66
466;98;07/04/2001;0,45
467;187;16/01/2018;0,97
468;364;14/08/2017;0,43
469;215;27/08/2013;0,47
470;159;01/04/2023;0,24
471;465;29/03/2024;0,99
472;537;12/02/2023;0,56
473;408;25/03/2021;0,56
474;253;13/10/2017;0,52
475;328;02/05/2022;0,67
476;427;19/09/2001;0,82
477;259;14/10/2018;0,11
478;330;11/02/2017;0,71
479;613;21/06/2022;0,56
480;303;15/07/2019;0,34
481;453;18/06/1998;0,92
482;336;05/04/2021;0,82
483;528;08/09/2019;0,43
484;471;26/12/2021;0,50
485;471;08/08/2009;0,07
486;353;21/09/2014;0,70
487;115;14/06/2019;0,76
488;389;16/02/2005;0,06
489;144;05/02/2004;0,42
490;386;12/05/2022;0,61
491;132;18/10/1994;0,24
492;200;09/10/2021;0,74
493;280;26/06/2014;0,59
494;219;10/12/2010;0,63
495;151;18/02/1997;0,61
496;110;09/12/2022;0,29
497;585;07/04/2021;0,66
498;306;06/02/2016;0,60
499;496;13/04/2016;0,36
500;30;07/09/2006;0,04
501;138;21/07/2023;0,98
502;385;09/01/2018;0,10
503;450;21/12/2019;0,48
504;408;26/06/1998;0,14
505;309;15/08/2021;0,45
506;283;09/03/2022;0,15
507;475;02/07/2020;0,93
508;614;01/12/2023;0,49
509;456;21/04/2024;0,26
510;436;29/10/2011;0,37
511;342;16/03/2021;0,77
512;21;09/10/2017;0,16
513;87;28/10/2017;0,67
514;466;23/08/2004;0,92
515;432;08/03/2019;0,34
516;219;04/09/2003;0,36
517;533;02/02/2019;0,16
518;347;04/04/2014;0,04
519;146;29/11/2013;0,80
520;108;27/10/2019;0,34
521;298;09/10/2020;0,99
522;167;16/03/2017;0,20
523;230;12/09/1991;0,84
524;164;06/04/2023;0,88
525;309;12/03/2022;0,02
526;136;10/06/2020;0,85
527;252;13/04/2020;0,23
528;307;10/02/2022;0,36
529;362;17/10/2011;0,68
530;378;23/11/2023;0,79
531;66;24/01/2016;0,44
532;328;11/10/2013;0,54
533;7;28/02/2023;0,16
534;532;10/08/2020;0,83
535;544;29/03/2013;0,36
536;465;18/04/2003;0,87
537;108;23/12/1990;0,05
538;233;25/08/2018;0,11
539;452;23/08/2022;0,31
540;332;01/07/2017;0,18
541;266;31/07/2022;0,26
542;285;03/05/2018;0,79
543;80;07/03/2018;0,06
544;513;27/01/2021;0,45
545;488;23/07/2021;0,28
546;391;22/01/2018;0,43
547;485;02/05/2022;0,87
548;163;11/04/2013;0,75
549;289;24/07/2002;0,67
550;391;25/11/2010;0,67
551;80;22/08/2008;0,86
552;101;20/12/2022;0,27
553;602;23/02/2017;0,32
554;522;28/06/2020;0,84
555;342;10/08/2021;0,05
556;509;25/02/2023;0,91
557;505;17/04/2024;0,24
558;589;25/09/2020;0,50
559;249;10/01/2022;0,77
560;525;12/02/2020;0,98
561;508;18/05/2021;0,40
562;217;31/05/2020;0,12
563;418;10/11/2006;0,05
564;381;01/03/2018;0,23
565;25;05/08/2022;0,55
566;214;16/04/1999;0,11
567;22;11/05/2002;0,84
568;339;09/03/2020;0,79
569;459;24/05/2020;0,28
570;551;04/10/2012;0,22
571;432;15/12/2020;0,13
572;361;11/07/2018;0,17
573;55;07/07/2001;0,94
574;458;12/09/1999;0,16
575;618;01/07/2019;0,60
576;23;20/10/2019;0,01
577;250;15/03/2022;0,71
578;82;06/09/2022;0,77
579;519;07/01/2011;0,41
580;285;05/06/2017;0,46
581;569;05/08/2016;0,20
582;441;26/01/2019;0,87
583;370;30/10/2022;0,55
584;14;19/12/2021;0,03
585;323;23/05/2011;0,69
586;458;30/08/2022;0,32
587;276;01/09/1997;0,12
588;41;02/12/2020;0,65
589;197;03/12/2023;0,66
590;149;11/12/2015;0,63
591;410;18/01/2004;0,87
592;164;08/04/2011;0,14
593;468;28/04/2018;0,38
594;580;28/08/2023;0,64
595;197;19/04/2017;0,31
596;42;28/12/2016;0,32
597;10;22/02/2015;0,20
598;464;18/07/2021;0,36
599;87;30/03/2023;0,50
600;460;24/02/2016;0,33
601;152;29/04/2024;0,16
602;525;27/02/2007;0,41
603;479;22/07/2017;0,31
604;220;16/02/2024;0,43
605;417;31/03/2016;0,28
606;400;19/10/2017;0,70
607;68;01/10/2007;0,59
608;438;16/07/2016;0,41
609;421;03/01/2013;0,59
610;294;01/02/2007;0,13
611;435;26/11/2017;0,14
612;532;18/06/2021;0,69
613;185;24/12/2021;0,92
614;432;23/03/2015;0,17
615;309;25/10/2015;0,88
616;13;25/01/2009;0,26
617;308;01/07/2022;0,39
618;252;11/08/2014;0,19
619;99;18/12/2015;0,90
620;9;04/06/2022;0,14
621;531;04/02/2024;0,58
622;236;29/07/2022;0,05
623;451;03/11/1985;0,63
624;193;17/08/2011;0,14
625;17;02/06/2021;0,26
626;385;06/06/2021;0,56
627;263;05/03/2018;0,70
628;275;18/12/2014;0,91
629;449;31/08/2004;0,96
630;346;12/04/2024;0,87
631;477;22/09/2003;0,82
632;213;17/09/2018;0,97
633;566;22/08/2022;0,83
634;327;19/07/1995;0,84
635;83;30/04/2016;0,63
636;489;15/12/2009;0,23
637;48;03/08/2016;0,12
638;18;01/06/2017;0,15
639;212;30/06/2009;0,26
640;464;10/10/2014;0,56
641;1;04/07/2023;0,67
642;388;06/05/2024;0,29
643;365;25/12/2018;0,46
644;57;17/01/2011;0,76
645;301;07/06/1995;0,18
646;444;30/11/2023;0,66
647;394;25/06/2019;0,34
648;76;15/04/2022;0,19
649;401;27/02/2021;0,55
650;518;03/02/2023;0,11
651;289;06/02/2022;0,57
652;222;27/04/2021;0,53
653;349;10/01/2021;0,85
654;459;05/03/2019;0,03
655;158;05/03/2009;0,40
656;125;29/12/2010;0,96
657;232;01/06/2022;0,40
658;250;20/08/2022;0,51
659;351;30/11/2020;0,00
660;83;20/04/2019;0,82
661;429;12/02/2008;0,40
662;209;17/05/2021;0,63
663;156;02/10/2020;0,22
664;609;23/06/1998;0,67
665;353;06/09/2020;0,03
666;322;21/11/2008;0,07
667;564;22/09/1994;0,45
668;475;24/09/2011;0,80
669;365;02/02/2023;0,67
670;553;19/05/2004;0,03
671;112;23/02/2012;0,44
672;441;27/06/2020;0,56
673;595;16/04/2014;0,06
674;239;04/10/2023;0,59
675;409;01/03/1998;0,10
676;96;30/12/1997;0,76
677;53;01/01/2007;0,26
678;201;24/06/2020;0,65
679;296;28/05/1996;0,05
680;84;19/04/2024;0,70
681;95;22/12/2017;0,30
682;44;24/11/1992;0,29
683;316;02/05/2022;0,52
684;301;06/04/2020;0,25
685;2;23/12/2007;0,07
686;62;25/01/2021;0,86
687;597;15/05/2009;0,97
688;313;01/08/2013;0,98
689;500;22/06/2010;0,47
690;198;14/10/2022;0,51
691;469;20/09/2019;0,17
692;622;25/04/2018;1,00
693;244;23/06/2015;0,55
694;200;11/07/2007;0,87
695;564;11/09/2021;0,09
696;498;11/10/2003;0,33
697;472;14/05/2021;0,90
698;119;20/04/2015;0,30
699;308;31/03/2009;0,16
700;71;20/02/2004;0,71
701;12;10/09/2021;0,50
702;600;16/11/2017;0,86
703;273;19/02/2007;0,97
704;21;20/11/2014;0,17
705;334;28/12/2012;0,90
706;227;07/11/2009;0,10
707;418;10/10/2009;0,15
708;97;27/11/2020;0,77
709;242;19/07/2008;0,01
710;256;28/10/2010;0,13
711;233;05/09/2020;0,45
712;389;04/01/2024;0,67
713;534;11/02/2016;0,74
714;343;20/05/2018;0,35
715;137;27/07/2022;0,40
716;453;25/05/2014;0,96
717;358;11/01/2009;0,79
718;405;29/04/2024;0,17
719;522;25/01/2018;0,08
720;195;01/10/2020;0,38
721;612;16/08/2002;0,52
722;502;28/02/1990;0,79
723;346;02/10/2020;0,83
724;198;08/01/1998;0,09
725;165;04/02/2013;0,88
726;250;07/01/2001;0,42
727;144;03/12/2023;0,74
728;570;10/11/2014;0,55
729;314;05/06/2018;0,44
730;495;02/12/2015;0,04
731;605;05/04/2024;0,29
732;375;16/10/2019;0,67
733;157;15/04/2009;0,29
734;141;11/06/2019;0,52
735;180;10/06/1999;0,38
736;159;24/12/2015;0,73
737;339;03/02/2023;0,02
738;62;06/06/1992;0,26
739;184;11/07/2000;0,04
740;303;16/11/2021;0,81
741;483;13/11/2020;0,83
742;224;04/09/2006;0,53
743;242;29/05/2009;0,25
744;418;11/11/2020;0,04
745;219;20/05/2022;0,34
746;411;10/06/2006;0,02
747;257;11/06/2016;0,11
748;245;06/03/2012;0,49
749;445;05/05/2015;0,16
750;461;23/08/2008;0,65
751;571;31/12/2006;0,61
752;281;28/10/2022;0,52
753;501;12/11/2022;0,16
754;580;06/01/2013;0,34
755;441;01/03/2022;0,48
756;25;02/03/2018;0,59
757;405;23/10/2018;0,72
758;452;05/07/2018;0,83
759;471;27/06/2024;0,95
760;608;27/11/2023;0,20
761;184;28/01/2008;0,06
762;574;13/04/2016;0,74
763;451;24/07/2015;0,27
764;478;19/04/2014;0,42
765;485;24/03/2021;0,03
766;202;25/09/2023;0,85
767;40;25/07/2015;0,14
768;320;04/11/2009;0,78
769;319;17/07/2023;0,54
770;358;10/06/2014;0,36
771;504;26/01/2022;0,11
772;315;22/11/2021;0,88
773;277;07/01/2007;0,46
774;417;05/04/2024;0,28
775;512;23/06/2022;0,55
776;566;31/10/2013;0,99
777;254;02/07/2018;0,77
778;92;02/06/2020;0,49
779;389;17/08/2020;0,59
780;219;28/12/2007;0,25
781;100;20/09/2023;0,39
782;419;17/01/2015;0,35
783;117;03/06/1998;0,83
784;399;27/06/2011;0,49
785;93;14/03/2020;0,79
786;222;09/04/2007;0,30
787;598;09/12/2007;0,20
788;537;04/01/2020;0,16
789;41;20/09/2022;0,35
790;465;08/06/2018;0,01
791;500;21/09/1992;0,31
792;347;01/04/2024;0,31
793;498;04/06/2021;0,44
794;262;12/01/1996;0,63
795;154;30/12/2021;0,84
796;209;03/01/2004;0,57
797;422;09/08/2022;0,11
798;546;09/09/2011;0,76
799;209;31/05/2007;0,34
800;573;19/10/2022;0,95
801;89;29/06/2022;0,33
802;330;14/10/2004;0,22
803;370;12/06/2018;0,62
804;97;29/01/2017;0,38
805;225;03/11/2021;0,85
806;3;06/07/2005;0,17
807;553;29/10/2018;0,29
808;365;01/05/2006;0,07
809;554;30/08/1997;0,35
810;478;19/08/2019;0,18
811;619;07/05/2021;0,75
812;138;14/04/2024;0,68
813;545;01/10/2008;0,09
814;16;22/04/2021;0,11
815;605;03/03/2016;0,60
816;361;13/02/2023;0,69
817;217;21/07/2006;0,30
818;64;18/02/2009;0,19
819;126;30/08/2003;0,32
820;470;02/02/2010;0,62
821;547;30/11/2018;0,12
822;611;24/06/2016;0,48
823;39;24/03/2018;0,53
824;348;28/03/2011;0,94
825;132;19/11/2011;0,16
826;197;15/05/2019;0,31
827;158;25/06/2002;0,38
828;463;10/04/2015;0,10
829;266;08/08/2022;0,68
830;362;28/08/2003;0,25
831;272;15/06/1998;0,05
832;161;16/07/2024;0,87
833;559;24/12/2018;0,57
834;623;03/01/2020;0,54
835;407;12/05/2000;0,82
836;52;03/04/2024;0,80
837;159;27/06/2018;0,29
838;360;12/06/2018;0,86
839;427;04/12/2001;0,15
840;50;16/04/2020;0,45
841;174;27/11/2022;0,56
842;77;27/08/2016;0,70
843;484;19/11/2022;0,78
844;158;14/02/2016;0,82
845;588;10/03/2015;0,05
846;80;13/01/2006;0,03
847;315;16/05/2021;0,37
848;542;27/05/2017;0,38
849;16;29/07/2012;0,85
850;207;17/09/2021;0,71
851;446;16/02/2013;0,63
852;315;11/01/2021;0,99
853;360;02/12/2007;0,44
854;447;05/12/2020;0,47
855;471;21/01/2005;0,92
856;463;10/09/2009;0,11
857;236;12/03/2022;0,29
858;33;23/02/2017;0,52
859;56;02/08/2015;0,43
860;212;24/01/2018;0,54
861;625;03/09/1996;0,78
862;327;09/11/1996;0,75
863;451;14/02/2014;0,61
864;48;20/01/2019;0,16
865;606;21/01/1998;0,44
866;245;19/12/2010;0,52
867;422;23/02/2012;0,53
868;283;14/02/2015;0,21
869;373;04/01/2006;0,30
870;44;28/04/2023;0,03
871;117;23/06/2023;0,46
872;129;17/04/2018;0,31
873;563;23/09/2002;0,91
874;108;12/12/2003;0,59
875;476;20/09/2022;0,26
876;257;15/05/2012;0,49
877;9;19/09/2021;0,01
878;392;25/12/2010;0,06
879;109;09/04/2001;0,55
880;505;05/06/2023;0,03
881;481;19/02/2017;0,72
882;152;13/11/2003;0,49
883;23;08/08/2020;0,36
884;592;17/11/2003;0,19
885;419;05/08/2019;0,03
886;179;03/05/2009;0,64
887;194;15/01/2018;0,36
888;617;29/09/2019;0,23
889;585;18/02/2017;0,07
890;479;01/09/2010;0,66
891;309;11/10/2011;0,18
892;147;15/06/2010;0,65
893;438;25/02/2017;0,39
894;382;13/10/2013;0,08
895;356;07/04/2024;0,15
896;372;18/03/2016;0,89
897;333;02/09/2023;0,50
898;191;14/06/2010;0,92
899;574;26/11/2023;0,06
900;411;03/07/2020;0,28
901;565;23/03/2010;0,28
902;64;21/01/2022;0,36
903;372;06/08/2018;0,72
904;283;19/01/2020;0,73
905;242;23/06/1996;0,27
906;528;10/05/2024;0,17
907;166;18/06/2005;0,72
908;36;05/04/2014;0,82
909;423;23/07/2024;0,67
910;146;13/04/2020;0,38
911;169;07/12/2020;0,03
912;8;13/03/2023;0,99
913;197;23/09/2017;0,55
914;224;01/11/2003;0,60
915;356;15/10/2016;0,26
916;64;01/01/2019;0,74
917;261;16/02/2008;0,34
918;561;07/03/1993;0,64
919;21;20/03/2014;0,41
920;543;01/08/2022;0,11
921;529;06/04/2015;0,44
922;274;22/10/2020;0,07
923;512;17/04/2009;0,43
924;277;14/12/2023;0,26
925;344;22/08/2021;0,93
926;501;09/03/2022;0,28
927;225;18/09/2024;0,74
928;249;03/01/1997;0,88
929;469;11/11/2009;0,55
