Index;BirthDate
392;14/07/1994
393;04/02/1959
394;11/08/2001
395;05/08/1988
396;04/06/1971
397;01/09/1995
398;12/02/1994
399;12/04/1989
400;07/02/1996
401;13/03/1987
402;15/09/1983
403;09/05/1972
404;13/11/1983
405;01/10/1973
406;03/05/1971
407;03/10/1991
408;01/04/1988
409;13/03/1992
410;10/03/2001
411;02/12/1980
412;02/03/1983
413;07/05/1969
414;08/09/1986
415;08/01/1958
416;02/07/1966
417;14/12/1990
418;05/08/1985
419;05/10/1965
420;08/11/1993
421;03/10/1993
422;01/10/2003
423;06/07/1952
424;09/06/1967
425;10/04/1955
426;12/11/1969
427;04/04/1975
428;05/10/1988
429;05/08/1989
430;04/07/1983
431;06/03/1983
432;02/02/1975
433;15/01/1997
434;05/09/1999
435;04/01/1987
436;06/06/1980
437;13/10/1972
438;01/10/1975
439;15/08/1975
440;06/12/1979
441;10/06/1959
442;05/04/1974
443;03/12/1957
444;03/09/1976
445;08/02/2001
446;11/05/1986
447;13/12/1992
448;08/11/1977
449;04/04/1996
450;09/07/1972
451;13/08/1996
452;09/09/1957
453;12/07/1997
454;15/04/1982
455;12/02/1993
456;15/03/1989
457;02/06/1995
458;05/09/1958
459;05/04/1985
460;15/12/1994
461;09/10/1999
462;11/11/1961
463;14/05/1991
464;02/12/1989
465;15/12/1964
466;01/11/1959
467;12/05/1974
468;13/12/1991
469;07/10/1971
470;06/02/2001
471;04/11/1996
472;06/05/1995
473;12/11/1986
474;03/07/1964
475;10/08/1997
476;09/09/1971
477;02/04/1964
478;04/10/1974
479;13/02/1992
480;09/07/1980
481;01/09/1955
482;07/12/1998
483;10/07/1979
484;15/11/1991
485;13/08/1965
486;11/11/1974
487;14/08/1974
488;01/06/1973
489;02/01/1960
490;08/09/1997
491;12/07/1953
492;11/04/1992
493;06/06/1975
494;10/09/1963
495;01/10/1959
496;09/05/2001
497;15/11/1992
498;06/05/1990
499;08/01/1970
500;02/05/1977
501;05/10/1957
502;07/03/1988
503;12/07/1990
504;12/11/1959
505;14/09/1996
506;09/06/1985
507;01/05/1992
508;05/07/1999
509;03/03/1992
510;12/12/1965
511;10/07/1968
512;05/12/1984
513;05/06/1975
514;13/01/1974
515;06/02/1976
516;02/04/1979
517;03/10/1971
518;15/12/1963
519;14/12/1991
520;13/08/1991
521;14/08/1967
522;02/02/1992
523;01/08/1955
524;12/07/1998
525;09/03/1958
526;05/01/1987
527;03/12/1993
528;12/11/2002
529;08/05/1961
530;05/11/1980
531;06/02/1984
532;15/12/1975
533;09/08/1973
534;08/07/1968
535;11/07/1975
536;07/09/1976
537;13/09/1954
538;08/12/1984
539;05/11/1981
540;04/11/1990
541;02/09/1989
542;15/02/1988
543;05/10/1994
544;01/02/1989
545;03/09/1994
546;05/05/1979
547;13/05/1964
548;15/07/1969
549;13/11/1968
550;15/02/1953
551;05/05/1959
552;01/12/2000
553;08/08/1974
554;13/09/1977
555;04/01/1959
556;01/05/1959
557;14/02/1997
558;04/01/1973
559;06/05/2001
560;15/12/1985
561;05/08/1959
562;11/01/1978
563;07/10/1975
564;08/10/1965
565;12/10/1996
566;13/07/1964
567;07/03/1960
568;15/10/1982
569;04/06/1986
570;07/02/1974
571;04/06/1993
572;15/02/1964
573;05/05/1981
574;04/10/1956
575;09/04/1977
576;02/06/1965
577;04/07/1984
578;11/10/2005
579;05/05/1970
580;02/11/1996
581;13/03/1995
582;15/05/1964
583;15/08/1983
584;06/09/2001
585;03/10/1967
586;03/12/1956
587;02/10/1961
588;04/01/1979
589;05/12/1999
590;10/08/1994
591;15/10/1957
592;01/02/1957
593;09/02/1979
594;05/05/1965
595;02/10/1965
596;08/10/1973
597;13/07/1959
598;10/12/1986
599;11/01/1973
600;15/11/1972
601;15/05/1996
602;01/04/1958
603;02/12/1963
604;07/11/1973
605;15/04/1976
606;03/11/1975
607;10/11/1963
608;04/01/1976
609;10/09/1969
610;07/12/1953
611;07/12/1955
612;13/07/1991
613;03/07/1989
614;10/09/1976
615;01/03/1989
616;10/06/1980
617;08/04/1991
618;02/11/1973
619;03/08/1990
620;14/04/1996
621;01/12/1957
622;06/02/1979
623;05/02/1952
624;05/12/1980
625;15/08/1965
626;11/09/1981
627;02/06/1973
628;14/03/1977
629;10/01/1960
630;13/02/1977
631;12/08/1982
632;11/10/1973
633;03/01/1965
634;02/12/1969
635;03/01/1961
636;02/03/1986
637;03/10/1983
638;10/12/1965
639;13/01/1964
640;11/04/1975
641;01/01/1998
642;11/12/1999
643;06/09/1984
644;07/02/1971
645;15/10/1961
646;03/01/1996
647;08/09/1986
648;01/09/1994
649;03/01/1988
650;01/10/2000
651;08/07/2000
652;14/06/1990
653;08/08/1973
654;14/08/1982
655;12/01/1976
656;02/01/1971
657;02/12/1993
658;13/08/1961
659;11/01/1993
660;01/11/1998
661;12/03/1964
662;11/06/1985
663;11/06/1998
664;15/07/1971
665;11/08/2000
666;09/08/1957
667;13/10/1959
668;09/10/1959
669;05/12/2003
670;05/11/1957
671;03/09/1958
672;09/06/1985
673;01/07/1953
674;12/05/1999
675;06/01/1974
676;10/03/1977
677;15/09/1970
678;14/04/1982
679;01/07/1959
680;15/01/2001
681;01/09/1986
682;15/06/1961
683;07/04/1970
684;12/05/1996
685;13/03/1969
686;13/07/1981
687;06/01/1953
688;06/07/1985
689;04/03/1980
690;11/11/1979
691;10/12/1956
692;10/04/1968
693;09/05/1957
694;07/04/1976
695;11/03/1990
696;12/04/1968
697;04/02/1982
698;07/01/1963
699;01/07/1952
700;08/11/1957
701;04/10/1994
702;01/10/1989
703;11/06/1974
704;05/12/1978
705;15/03/1992
706;04/12/1987
707;15/12/1979
708;02/10/1969
709;08/10/1964
710;15/02/1979
711;15/06/1986
712;06/12/1993
713;12/12/1986
714;03/11/1966
715;08/06/2000
716;10/03/1973
717;08/09/1960
718;09/09/1983
719;04/05/1977
720;02/05/1975
721;12/10/1967
722;06/01/1956
723;13/08/1968
724;04/12/1967
725;10/05/1974
726;09/05/1965
727;01/06/1955
728;04/12/1976
729;02/07/1963
730;15/01/1980
731;02/04/2003
732;14/06/1999
733;10/10/1962
734;15/09/1965
735;01/01/1959
736;10/06/1983
737;01/05/1962
738;09/10/1965
739;05/07/1976
740;15/09/1984
741;02/11/1973
742;09/10/1955
743;09/10/1981
744;02/02/1960
745;09/03/1997
746;11/07/1966
747;09/02/1980
748;12/06/1972
749;09/03/1984
750;09/11/1961
751;06/03/1966
752;12/02/1999
753;13/06/1966
754;13/05/1983
755;10/10/1987
756;05/10/1986
757;04/04/1969
758;07/08/1980
759;10/06/1985
760;08/07/1996
761;10/12/1970
762;03/03/1980
763;01/09/1981
764;07/02/1968
765;04/05/1976
766;01/12/1994
767;15/04/1979
768;14/01/1982
769;07/05/1978
770;08/05/1991
771;01/03/1995
772;10/07/1980
773;14/08/1972
774;12/09/2000
775;04/09/1987
776;09/06/1983
777;08/12/1995
778;14/11/1989
779;11/12/1996
780;01/04/1980
781;01/01/1991
782;13/02/1983
783;02/09/1966
784;06/11/1954
785;13/07/1989
786;12/08/1977
787;14/08/1969
788;15/03/1981
789;09/10/1994
790;03/02/1984
791;05/02/1962
792;03/09/2000
793;02/08/1990
794;10/02/1962
795;14/12/1993
796;07/05/1972
797;04/02/1996
798;15/08/1958
799;12/12/1978
800;12/09/1993
801;07/11/1981
802;03/04/1966
803;10/02/1995
804;03/04/1991
805;11/05/1960
806;13/05/1962
807;08/05/1987
808;10/05/1973
809;06/10/1968
810;01/11/1982
811;02/02/1974
812;02/04/1997
813;07/02/1962
814;06/07/1984
815;15/04/1973
816;14/02/2003
817;06/08/1976
818;08/08/1961
819;06/02/1974
820;07/04/1963
821;13/08/1988
822;13/01/1987
823;13/10/1982
824;11/08/1978
825;13/02/1962
826;02/12/1985
827;04/03/1954
828;14/09/1993
829;13/05/1985
830;06/10/1964
831;10/10/1953
832;02/06/1989
833;06/01/1993
834;06/07/1962
835;12/06/1965
836;01/02/1993
837;15/06/1989
838;03/06/1982
839;02/06/1969
840;05/06/1952
841;08/01/1996
842;09/02/1950
843;02/11/1989
844;13/07/1987
845;06/11/1982
846;03/01/1969
847;01/12/1993
848;01/06/1960
849;07/10/1987
850;13/12/1999
851;12/08/1974
852;05/02/1984
853;06/02/1961
854;03/11/1981
855;12/03/1979
856;05/10/1957
857;02/07/1981
858;04/08/1984
859;01/08/1967
860;10/09/1990
861;15/11/1974
862;06/08/1963
863;12/11/1982
864;01/06/1975
865;07/02/1973
866;06/11/1952
867;15/02/1969
868;02/05/1956
869;14/04/1963
870;14/05/1963
871;07/09/1995
872;13/10/1978
873;14/08/1971
874;14/05/1963
875;15/12/1981
876;13/01/1969
877;08/08/1969
878;06/09/1977
879;13/05/1959
880;14/10/1985
881;04/04/1988
882;01/11/1959
883;04/05/1995
884;14/12/1954
885;01/11/1977
886;15/07/1967
887;08/10/1968
888;03/12/1995
889;02/11/1969
890;02/06/1959
891;10/12/1973
892;03/11/1967
893;05/11/1964
894;08/05/1957
895;13/02/1996
896;11/01/1987
897;01/10/1997
898;14/05/1964
899;07/07/1993
900;01/09/1974
901;01/10/1978
902;13/07/1992
903;03/08/1987
904;03/03/1992
905;02/11/1962
906;09/05/1997
907;08/02/1964
908;05/12/1953
909;12/10/1998
910;12/03/1989
911;10/12/2001
912;03/09/2001
913;08/06/1964
914;01/04/1965
915;07/10/1975
916;03/03/1971
917;06/03/1970
918;14/04/1966
919;05/08/1982
920;13/02/1994
921;08/06/1970
922;10/06/1998
923;14/04/1981
924;03/03/1996
925;09/11/1989
926;10/09/1995
927;03/12/2002
928;10/08/1959
929;02/06/1980
930;10/06/1967
931;01/12/1971
932;13/05/1980
933;09/01/1964
934;04/04/1979
935;12/11/1964
936;14/12/1962
937;06/12/1990
938;03/10/1971
939;08/07/1978
940;10/06/1970
941;06/05/1958
942;07/03/1973
943;14/03/1990
944;08/03/1988
945;11/12/1976
946;07/10/1964
947;12/04/1986
948;15/12/1968
949;03/07/1988
950;01/12/1969
951;04/03/1975
952;02/10/1977
953;03/02/1965
954;10/07/1979
955;02/07/1988
956;10/05/1960
957;10/07/1996
958;01/07/1995
959;05/11/1966
960;13/12/1967
961;14/07/1956
962;14/07/1971
963;05/10/1962
964;05/12/1989
965;01/02/1975
966;06/10/1988
967;09/02/1995
968;14/07/2001
969;15/11/1980
970;08/05/1967
971;03/12/1978
972;02/06/1997
973;07/03/1991
974;08/07/1995
975;07/10/1996
976;14/04/1982
977;09/08/1995
978;09/08/1974
979;09/09/1987
980;11/10/1991
981;05/02/1956
982;12/09/1995
983;06/10/1983
984;12/01/1961
985;06/11/1970
986;04/05/1989
987;03/03/1963
988;02/01/1981
989;08/09/1973
990;02/10/1995
991;12/07/1999
992;01/01/1986
993;11/01/1982
994;07/06/1960
995;05/08/1960
996;14/05/1969
997;14/01/1961
998;09/10/1960
999;10/04/1973
1000;11/05/1979
1001;11/09/1981
1002;13/03/1958
1003;02/12/1966
1004;13/08/1985
1005;06/08/1973
1006;04/05/1974
1007;10/12/1977
1008;15/03/1965
1009;02/04/2003
1010;05/11/1992
1011;14/04/1981
1012;05/09/1972
1013;12/08/1970
1014;06/09/1986
1015;11/08/2002
1016;03/07/1973
1017;02/07/1995
1018;03/11/1998
1019;11/04/1964
1020;11/10/1969
1021;14/01/1974
1022;05/05/1958
1023;08/02/1953
1024;05/09/1982
1025;08/03/1977
1026;06/10/1966
1027;09/04/1958
1028;02/10/1994
1029;06/09/2000
1030;02/03/1967
1031;11/02/1984
1032;07/09/1972
1033;13/11/1966
1034;08/05/2000
1035;05/05/1984
1036;03/12/1989
1037;03/06/1960
1038;05/05/1968
1039;13/07/1966
1040;15/08/1980
1041;02/06/1961
1042;15/12/1959
1043;06/05/1963
1044;08/10/1990
1045;12/07/1961
1046;07/06/1990
1047;05/01/1955
1048;05/03/2002
1049;06/10/1984
1050;05/10/1966
1051;03/04/1966
1052;03/11/1974
1053;05/04/1974
1054;08/12/1971
1055;13/12/1983
1056;14/11/1968
1057;14/03/1967
1058;05/05/1972
1059;12/11/1982
1060;04/09/1977
1061;04/02/1964
1062;07/05/1957
1063;01/05/1972
1064;11/07/1962
1065;11/08/1980
1066;04/11/1986
1067;05/06/1960
1068;10/09/1980
1069;03/12/1985
1070;15/02/1971
1071;04/12/1964
1072;02/03/1994
1073;10/06/1964
1074;10/06/1964
1075;08/10/1981
1076;15/02/1977
1077;03/02/1974
1078;07/12/1961
1079;08/05/1960
1080;11/05/1982
1081;08/04/1978
1082;09/08/1992
1083;02/12/1989
1084;02/06/1987
1085;09/07/1991
1086;02/07/2000
1087;09/06/1975
1088;14/03/1963
1089;05/07/1984
1090;09/08/1979
1091;06/03/1957
1092;13/03/2004
1093;11/08/1994
1094;12/12/1996
1095;15/03/1991
1096;10/09/1979
1097;12/02/1972
1098;13/12/1965
1099;11/01/1972
1100;08/06/1971
1101;15/06/2002
1102;03/02/1973
1103;01/03/1961
1104;08/01/1955
1105;14/10/1961
1106;12/09/1972
1107;04/10/2001
1108;14/02/1989
1109;10/04/1991
1110;09/09/1999
1111;09/02/1967
1112;08/05/1980
1113;05/02/1989
1114;15/09/1993
1115;10/03/1960
1116;05/12/1966
1117;02/02/1966
1118;14/03/1980
1119;07/06/1960
1120;12/09/1961
1121;11/10/1973
1122;14/01/1979
1123;12/02/1980
1124;15/05/1981
1125;03/11/1969
1126;15/11/1968
1127;06/05/1961
1128;05/04/1967
1129;04/10/1981
1130;04/07/1982
1131;15/03/1985
1132;10/10/1964
1133;02/05/1983
1134;01/12/1957
1135;03/01/1958
1136;09/01/1958
1137;04/02/1952
1138;14/11/1981
1139;04/11/1979
1140;04/08/1992
1141;06/08/1959
1142;11/09/1967
1143;14/07/1970
1144;01/01/1979
1145;04/03/1991
1146;07/12/2002
1147;09/01/1973
1148;04/01/1965
1149;08/09/2000
1150;10/12/1977
1151;04/10/1966
1152;09/02/1972
1153;13/12/2000
1154;05/12/1968
1155;15/09/1975
1156;04/11/1972
1157;08/09/1959
1158;05/05/1993
1159;06/03/1972
1160;13/06/1999
1161;07/01/1996
1162;05/09/1996
1163;01/04/1985
1164;13/01/1989
1165;07/09/1984
1166;10/12/1997
1167;08/12/1967
1168;09/03/1994
1169;11/01/1983
1170;06/06/1970
1171;15/10/1984
1172;08/08/1966
1173;13/01/1969
1174;15/10/1997
1175;12/10/1958
1176;03/12/1966
1177;15/12/1961
1178;04/04/1971
1179;11/05/1969
1180;05/01/1960
1181;03/01/1979
1182;09/07/1988
1183;07/01/1973
1184;12/02/1966
1185;13/01/1965
1186;05/01/1999
1187;05/10/1997
1188;08/11/1985
1189;10/03/1987
1190;09/02/1990
1191;12/11/1975
1192;06/12/1991
1193;05/01/1995
1194;07/12/1976
1195;12/07/1992
1196;02/08/1973
1197;07/02/2000
1198;05/10/1999
1199;14/02/1983
1200;02/05/1965
1201;10/09/1966
1202;08/07/1988
1203;10/10/1977
1204;12/12/1964
1205;13/07/1979
1206;13/05/1997
1207;10/11/2002
1208;05/06/1978
1209;01/02/1962
1210;09/09/1979
1211;14/10/1979
1212;14/08/1979
1213;08/05/1968
1214;06/10/1994
1215;07/06/1977
1216;03/08/1991
1217;14/11/1991
1218;12/11/1970
1219;03/11/1989
1220;10/09/1985
1221;04/12/1997
1222;13/06/1985
1223;03/11/1994
1224;14/05/1964
1225;05/09/1972
1226;05/04/1978
1227;09/11/1986
1228;03/01/2000
1229;05/09/2005
1230;15/08/1999
1231;04/12/1994
1232;01/01/1972
1233;15/11/1996
1234;02/02/2000
1235;04/07/1963
1236;05/12/1993
1237;14/08/1985
1238;13/11/1973
1239;12/01/1971
1240;01/05/1981
1241;09/04/1986
1242;09/06/1991
1243;02/10/1996
1244;15/02/1965
1245;12/08/1978
1246;13/08/1970
1247;11/09/1970
1248;13/06/1992
1249;11/02/1995
1250;05/06/1970
1251;13/02/2002
1252;06/09/1997
1253;07/01/1960
1254;15/01/1968
1255;13/10/1985
1256;06/03/1977
1257;12/12/1987
1258;08/07/1983
1259;05/07/1979
1260;04/03/1984
1261;05/08/1997
1262;08/02/1958
1263;11/01/1979
1264;12/04/1986
1265;13/12/1993
1266;11/04/1960
1267;01/09/1960
1268;04/08/1989
1269;09/11/1997
1270;14/03/1991
1271;15/11/1964
1272;09/02/2002
1273;04/10/1993
1274;10/11/1964
1275;02/06/1959
1276;02/11/1990
1277;11/02/1963
1278;11/10/1972
1279;08/05/1992
1280;12/06/1989
1281;10/06/1981
1282;06/06/1972
1283;14/03/1957
1284;11/05/1990
1285;14/01/1968
1286;05/11/1966
1287;10/08/1979
1288;03/09/1997
1289;09/11/1977
1290;12/11/1989
1291;11/07/1951
1292;01/07/1983
1293;15/05/1989
1294;03/02/1987
1295;14/12/1973
1296;11/05/1978
1297;15/02/1981
1298;15/05/1979
1299;06/01/1964
1300;08/04/1988
1301;07/02/1969
1302;06/04/1960
1303;05/07/1967
1304;03/05/1969
1305;09/09/1966
1306;01/08/1952
1307;08/02/1966
1308;05/07/2005
1309;05/12/1978
1310;10/02/1959
1311;09/09/1973
1312;13/09/1988
1313;08/10/1963
1314;08/03/1978
1315;09/09/1966
1316;06/03/1957
1317;07/12/1959
1318;08/03/1990
1319;15/11/1968
1320;04/08/1973
1321;15/07/1974
1322;03/04/1981
1323;06/04/1986
1324;11/01/1968
1325;09/01/1972
1326;02/06/1992
1327;11/11/1967
1328;03/03/1974
1329;01/10/1973
1330;01/05/1989
1331;07/09/1990
1332;06/06/1998
1333;12/06/1982
1334;01/11/1973
1335;09/12/1958
1336;14/01/2002
1337;15/03/1980
1338;01/02/1992
1339;02/01/1976
1340;07/10/1978
1341;01/10/1993
1342;09/05/1980
1343;04/11/1979
1344;06/07/1977
1345;15/04/2006
1346;14/12/2000
1347;02/11/1977
1348;07/02/1974
1349;13/06/1986
1350;14/10/1971
1351;11/01/1992
1352;09/05/1997
1353;15/08/1967
1354;08/03/1963
1355;15/11/1994
1356;04/07/1990
1357;01/01/1961
1358;01/05/1976
1359;12/11/1976
1360;01/05/1971
1361;13/11/1964
1362;03/01/1993
1363;07/03/1978
1364;11/07/1958
1365;08/11/1987
1366;03/02/1991
1367;10/07/1981
1368;09/12/1989
1369;13/06/1977
1370;11/07/1983
1371;10/10/1996
1372;15/01/1985
1373;05/08/1992
1374;04/11/1973
1375;07/07/1987
1376;11/01/1960
1377;03/01/1977
1378;07/12/2003
1379;14/06/2000
1380;09/04/1987
1381;02/05/1999
1382;02/02/1959
1383;08/02/1957
1384;06/09/1977
1385;08/11/1958
1386;06/06/1958
1387;08/07/1998
1388;04/04/1968
1389;10/05/1963
1390;09/04/1968
1391;11/12/1976
1392;04/03/1965
1393;04/11/2005
1394;14/11/1956
1395;13/01/1966
1396;08/01/1980
1397;03/12/1968
1398;09/09/1967
1399;06/12/1987
1400;14/11/1969
1401;09/02/1966
1402;04/11/1954
1403;01/02/1954
1404;10/07/1964
1405;08/10/1980
1406;04/08/1965
1407;15/11/1994
1408;12/05/1974
1409;02/12/1995
1410;06/11/1962
1411;08/01/1987
1412;05/06/1977
1413;13/01/1981
1414;09/05/1971
1415;08/10/1969
1416;09/03/1977
1417;06/10/1965
1418;12/11/1968
1419;11/02/1972
1420;04/12/1952
1421;08/05/1986
1422;03/10/1993
1423;06/11/1983
1424;02/02/1986
1425;06/07/1965
1426;13/03/1966
1427;12/02/1995
1428;10/05/2000
1429;07/11/1967
1430;06/05/1970
1431;11/02/1951
1432;10/11/1986
1433;08/09/1970
1434;01/07/1986
1435;12/04/1976
1436;14/07/2001
1437;06/01/1993
1438;08/06/1996
1439;10/05/1973
1440;11/04/2000
1441;12/02/1959
1442;10/04/1978
1443;05/10/1973
1444;01/08/1968
1445;14/01/1966
1446;13/02/1973
1447;08/06/2002
1448;14/03/1964
1449;02/04/1983
1450;01/06/1962
1451;15/02/1961
1452;13/12/1959
1453;08/09/1986
1454;08/02/1968
1455;07/11/1991
1456;08/07/1963
1457;04/02/1983
1458;10/11/1967
1459;10/03/1964
1460;08/11/1979
1461;03/04/1954
1462;15/04/1996
1463;10/01/1966
1464;04/03/1960
1465;10/06/1980
1466;06/06/1960
1467;04/11/1977
1468;01/08/2005
1469;07/06/1982
1470;10/05/1982
1471;13/05/1957
1472;15/11/1961
1473;09/12/1971
1474;05/09/1986
1475;13/10/1987
1476;11/11/1967
1477;06/02/2004
1478;15/12/1957
1479;07/09/1969
1480;05/05/1987
1481;07/07/1991
1482;04/12/1994
1483;11/05/1988
1484;03/07/1983
1485;06/11/1985
1486;14/01/1968
1487;10/05/1971
1488;04/10/1998
1489;09/09/1997
1490;12/04/1964
1491;15/07/2002
1492;03/12/1983
1493;07/12/1967
1494;15/05/1963
1495;11/07/1980
1496;01/05/1962
1497;09/08/1985
1498;05/02/1962
